name,star_name,star_age,star_age_error_min,star_age_error_max,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,detection_type,mass_measurement_type,radius_measurement_type,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max
11 UMi b,11 UMi,1.56,-0.54,0.54,14.74,-2.5,2.5,1.09,,,516.21997,-3.2,3.2,1.53,-0.07,0.07,0.08,-0.03,0.03,,,,2009.0,117.63,-21.06,21.06,2452861.04,-2.06,2.06,,,,,,,189.7,-7.2,7.2,896.425687903408,-48.3958770141315,48.3958770141315,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,229.2745954,71.8239428,5.013,,2.876,2.091,1.939,125.321,-1.9765,1.9765,-0.02,,,2.78,-0.69,0.69,29.79,-2.84,2.84,K4 III,4213.0,-46.0,46.0
14 And b,14 And,4.5,-1.9,1.9,3.559,-0.122,0.114,1.16,,,186.76,-0.12,0.11,0.775,0.0,0.0,0.0,,,,,,2008.0,0.0,,,2452853.0,-2.1,2.1,,,,,,,86.08,-2.95,2.76,909.922985643355,,,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,352.82415,39.2358367,5.23133,,3.019,2.608,2.331,75.4392,-0.714,0.714,-0.21,-0.1,0.1,1.78,-0.29,0.43,11.55,-0.51,1.12,K0 III,4888.0,,
14 Her b,14 Her,4.6,-1.3,3.8,8.9,-1.7,1.3,1.12,,,1766.41,-0.68,0.67,2.839,-0.041,0.039,0.3683,-0.0029,0.0029,146.7,-9.74,4.584,2002.0,23.2,-0.69,0.56,2451372.7,-3.6,3.6,2456834.4,-1.9,1.7,,,,90.0,-0.5,0.5,147.323030969785,-1.47667076556232,1.47667076556232,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,242.6021014,43.8163621,6.61935,,5.158,4.803,4.714,17.9323,-0.0073,0.0073,0.43,-0.07,0.07,0.97,-0.04,0.04,0.93,-0.01,0.01,K0,5338.0,-25.0,25.0
16 Cyg B b,16 Cyg B,7.4,-0.1,0.1,1.78,-0.08,0.08,1.2,,,798.5,-1.0,1.0,1.66,-0.03,0.03,0.68,-0.02,0.02,,,,1996.0,82.74,-0.6,0.6,2450539.3,-1.6,1.6,2456937.32,-0.38,0.38,,,,50.5,-1.6,1.6,228.763282853264,-2.32356729818376,2.32356729818376,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,295.4656422,50.5168243,6.215,,4.993,4.695,4.651,21.1397,-0.0111,0.011,0.06,,,1.08,-0.04,0.04,1.13,-0.01,0.01,G3 V,5750.0,-8.0,8.0
17 Sco b,17 Sco,5.13,-1.33,2.12,4.32,-0.12,0.15,1.15,,,578.38,-2.09,2.01,1.45,-0.02,0.02,0.06,-0.02,0.03,,,,2020.0,57.03,-106.77,113.18,2453294.41,-182.91,174.23,,,,,,,92.4,-3.84,3.9,847.513880589377,-13.8969658786141,13.8969658786141,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,243.4620874,-11.8377905,5.22606,,2.943,2.266,2.094,124.953,-2.59,2.59,-0.01,-0.1,0.1,1.22,-0.14,0.13,25.92,-0.74,0.78,K3 III,4157.0,-10.0,11.0
18 Del b,18 Del,1.1,-0.1,0.1,9.207,-0.077,0.16,1.12,,,982.85,-0.92,1.06,2.476,-0.002,0.002,0.024,-0.018,0.007,,,,2008.0,64.11,-57.98,28.8,2454356.1,-118.2,102.9,,,,,,,114.96,-0.96,1.98,452.718932095415,,,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,314.6078375,10.8391378,5.51048,,4.032,3.44,3.366,76.222,-0.6217,0.6217,-0.06,-0.1,0.1,2.1,-0.09,0.13,8.8,-0.4,0.61,G6 III,4980.0,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0.005,,,8.0,-1.0,1.0,1.664,,,,,,330.0,,,,,,,,,2008.0,,,,,,,,,,,,,,,,1700.0,-100.0,100.0,Imaging,Mass,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,242.3762343,-21.0831403,12.618,,9.82,9.121,8.916,139.135,-1.307,1.332,,,,0.85,-0.1,0.2,1.31316,-0.102363,0.176833,K7 V,4060.0,-200.0,300.0
24 Boo b,24 Boo,6.92,-2.75,4.83,0.883,-0.043,0.036,1.24,,,30.33,-0.01,0.0,0.194,0.0,0.0,0.032,-0.023,0.039,,,,2018.0,-179.2,-95.45,89.32,2455129.2,-15.4,3.0,,,,,,,55.67,-2.66,2.31,1840.86001214814,,,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,217.1555242,49.8446488,5.59,,3.845,3.34,3.159,95.9863,-0.63685,0.63685,-0.78,-0.1,0.1,1.05,-0.18,0.27,12.19,-1.28,1.45,G3 IV,4816.0,,
24 Sex b,24 Sex,2.7,-0.4,0.4,1.99,-0.38,0.26,1.19,,,452.8,-4.5,2.1,1.333,-0.009,0.004,0.09,-0.06,0.14,,,,2010.0,9.2,-165.4,277.9,2454762.0,-172.3,67.3,,,,,,,40.0,-7.8,4.9,471.320244459384,-5.7159041204996,5.7159041204996,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,155.8684866,-0.9023998,6.4535,,5.292,4.486,4.285,72.0691,-0.6728,0.6854,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,5098.0,-44.0,44.0
24 Sex c,24 Sex,2.7,-0.4,0.4,0.86,-0.22,0.35,1.24,,,883.0,-13.8,32.4,2.08,-0.02,0.05,0.29,-0.09,0.16,,,,2010.0,220.5,-320.9,182.2,2454930.0,-96.5,209.9,,,,,,,14.5,-3.6,7.5,377.311030257366,-5.49265028178429,5.49265028178429,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,155.8684866,-0.9023998,6.4535,,5.292,4.486,4.285,72.0691,-0.6728,0.6854,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,5098.0,-44.0,44.0
2M0437 b,2MASS J04372171+2651014,0.0025,-0.0004,0.0004,4.0,-1.0,1.0,1.16,,,,,,118.0,-1.3,1.3,,,,,,,2021.0,,,,,,,,,,,,,,,,1450.0,-50.0,50.0,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,69.3405531,26.8502997,16.186,,11.298,10.656,10.386,128.484,-1.174,1.196,0.01,-0.05,0.05,0.17,-0.02,0.01,0.84,-0.11,0.11,M V,3100.0,-100.0,100.0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,0.03,,,13.0,-1.0,1.0,1.1,,,,,,84.0,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,15.8992489,-55.2658291,15.788,,10.162,9.58,9.237001,47.2,-3.1,3.1,,,,0.19,-0.02,0.02,,,,M5.5/M6,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0.12,-0.01,0.01,24.5,-2.5,2.5,1.0,,,,,,52.0,-6.0,6.0,,,,,,,2013.0,,,,,,,,,,,,,,,,1600.0,-100.0,100.0,Imaging,Mass,<a refstr=HINKLEY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805L..10H/abstract target=ref>Hinkley et al. 2015</a>,20.7128012,-24.6646128,14.244,,10.084,9.47,9.198,33.8281,-0.086,0.0864,,,,0.4,-0.05,0.05,0.36645,-0.0111554,0.0111554,M3.5 V,3530.0,-50.0,50.0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,0.035,-0.005,0.005,13.9,-1.1,1.1,1.44,-0.03,0.03,,,,156.0,-10.0,10.0,,,,,,,2015.0,,,,,,,,,,,,,,,,6.27065517640433,-0.292619045909589,0.292619045909589,Imaging,Mass,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,34.8427046,-39.4230767,,13.42,11.381,10.811,10.404,40.0896411653501,-0.194049575913198,0.194049575913198,,,,0.108,-0.011,0.011,0.281,-0.013,0.013,M6,3064.0,-76.0,76.0
2MASS J0249-0557 c,2MASS J0249-0557 A,0.022,-0.006,0.006,11.38,-0.77,0.77,1.55,-0.03,0.03,,,,1950.0,-200.0,200.0,,,,,,,2018.0,,,,,,,,,,,,,,,,1723.0,,,Imaging,Mass,<a refstr=LIU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260501012L/abstract target=ref>Liu et al. 2026</a>,42.4851627,-5.9599921,18.3,,11.963,11.361,11.055,66.0613,-0.4482,0.4543,,,,0.046,-0.011,0.012,0.315959,-0.0096245,0.0096245,M6 V,2859.0,-157.0,157.0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,0.001,,,7.5,-2.5,2.5,1.13,,,,,,15.0,,,,,,,,,2010.0,,,,,,,,,,,,,,,,17.6039074019886,,,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,70.4371079,23.0308544,,,14.419,13.726,13.161,120.423986963142,-5.47834169965954,5.47834169965954,,,,0.019,,,0.231916,-0.0115529,0.0115529,M8.5,2936.0,-182.0,182.0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0.01,-0.002,0.002,5.2,-0.7,0.6,1.4,-0.04,0.03,,,,46.0,-5.0,5.0,,,,,,,2004.0,,,,,,,,,,,,,,,,1163.0,-21.0,23.0,Imaging,Mass,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...64Z/abstract target=ref>Zhang et al. 2025</a>,181.8890906,-39.5484399,20.15,,12.995,12.388,11.945,64.308,-0.644,0.6569,,,,0.188001,-0.0202267,0.0202267,0.21887,-0.006976,0.006976,M8,2825.0,-157.0,157.0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,0.12,-0.01,0.01,12.5,-1.5,1.5,1.1,,,,,,230.0,-20.0,20.0,,,,,,,2016.0,,,,,,,,,,,,,,,,10.2983679920333,-0.671479375263503,0.671479375263503,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,339.1025931,47.861683,12.368,,9.975,9.338,9.148,69.5737,-0.1585,0.1592,,,,0.6,-0.05,0.05,0.641152,-0.062602,0.0600211,K7 V,4045.0,-35.0,35.0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,0.15,,,30.0,-4.0,11.0,1.06,,,,,,518.0,-40.0,40.0,,,,,,,2018.0,,,,,,,,,,,,,,,,1600.0,-200.0,200.0,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,342.5634097,23.4259058,14.784,,10.707,10.082,9.833,57.2309,-0.1429,0.1437,,,,0.433173,-0.0202074,0.0202074,0.437589,-0.0129225,0.0129225,M3,3352.0,-157.0,157.0
4 UMa b,4 UMa,4.604,-2.0,2.0,7.902,-0.378,0.199,1.12,,,270.27,-0.09,0.24,0.877,0.0,0.001,0.453,-0.036,0.021,,,,2006.0,28.6,-5.4,3.2,2455958.1,-4.1,2.3,,,,,,,242.24,-14.31,7.45,967.438650840344,-42.1544792279511,42.1544792279511,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,130.0528099,64.3280504,4.5801,,2.619,2.021,1.734,73.4603,-1.18605,1.18605,-0.25,-0.04,0.04,1.234,-0.15,0.15,18.11,-1.47,1.47,K1 III,4415.0,-70.0,70.0
47 UMa b,47 UMa,6.48,-1.04,1.44,2.53,-0.06,0.07,1.18,,,1078.0,-2.0,2.0,2.1,-0.02,0.02,0.032,-0.014,0.014,,,,1996.0,334.0,-23.0,23.0,2451917.0,-76.0,63.0,2454415.6,-2.9,3.0,,,,48.4,-0.9,0.8,215.229082800955,-5.82764456865218,5.82764456865218,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,164.8647611,40.4304931,5.03352,,3.96,3.736,3.75,13.7967,-0.0289,0.0289,0.04,-0.1,0.1,1.06,-0.137608,0.128402,1.21334,-0.0583533,0.0388829,G0V,5872.0,-113.525,92.9376
47 UMa c,47 UMa,6.48,-1.04,1.44,0.54,-0.073,0.066,1.27,,,2391.0,-87.0,100.0,3.6,-0.1,0.1,0.098,-0.096,0.047,,,,2001.0,295.0,-160.0,114.0,2452441.0,-825.0,628.0,2455651.0,-46.0,59.0,,,,8.0,-1.0,1.0,164.383927281882,-4.94071725232661,4.94071725232661,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,164.8647611,40.4304931,5.03352,,3.96,3.736,3.75,13.7967,-0.0289,0.0289,0.04,-0.1,0.1,1.06,-0.137608,0.128402,1.21334,-0.0583533,0.0388829,G0V,5872.0,-113.525,92.9376
47 UMa d,47 UMa,6.48,-1.04,1.44,1.64,-0.48,0.29,1.2,,,14002.0,-5095.0,4018.0,11.6,-2.9,2.1,0.16,-0.16,0.09,,,,2009.0,110.0,-160.0,132.0,2451736.0,-5051.0,6783.0,2451820.0,-200.0,170.0,,,,13.8,-2.9,2.2,91.5759869024431,-10.165503793021,10.165503793021,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,164.8647611,40.4304931,5.03352,,3.96,3.736,3.75,13.7967,-0.0289,0.0289,0.04,-0.1,0.1,1.06,-0.137608,0.128402,1.21334,-0.0583533,0.0388829,G0V,5872.0,-113.525,92.9376
51 Eri b,51 Eri,0.0232,-0.002,0.0017,10.9,,,,,,9100.0,-1500.0,1100.0,10.4,-1.1,0.8,0.57,-0.06,0.08,141.0,-7.0,9.0,2015.0,82.0,-23.0,23.0,2461699.0,-804.0,913.0,,,,,,,,,,807.0,-45.0,45.0,Imaging,Mass,,69.4007424,-2.4738245,5.21149,4.889,4.744,4.77,4.537,29.7575,-0.1203,0.1213,0.13,-0.02,0.03,1.75,-0.05,0.05,1.45,-0.02,0.02,F0 IV,7422.0,-58.0,58.0
51 Peg b,51 Peg,10.0,,,0.46,-0.01,0.06,1.27,,,4.230785,-3.6e-05,3.6e-05,0.0527,-0.003,0.003,0.013,-0.012,0.012,80.0,-19.0,10.0,1995.0,58.0,,,2450001.51,-0.61,0.61,2455705.001,-0.006,0.006,,,,55.94,-0.69,0.69,1311.38824543571,-53.3674509596988,53.3674509596988,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,344.3675399,20.7690958,5.45309,,4.655,4.234,3.911,15.4614,-0.0297,0.0297,0.18,-0.1,0.1,1.03,-0.0854185,0.166699,1.17561,-0.0353276,0.0673608,G5V,5758.0,-119.624,101.623
55 Cnc B b,55 Cnc B,10.0,,,0.0110122315152276,-0.00251708148919489,0.00251708148919489,0.151,,,6.7994,-0.0014,0.0013,0.044,-0.0012,0.0012,0.0,,,,,,2025.0,,,,,,,2455495.7,-0.85,0.84,,,,2.89,-0.63,0.61,395.411958940842,-48.0718360615449,48.0718360615449,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.167908,28.3152863,13.152,,8.56,7.933,7.666,12.4773,-0.0171,0.0171,0.16,-0.1,0.1,0.26,-0.02,0.02,0.274,-0.066,0.066,M4.5 V,3286.0,-31.0,31.0
55 Cnc B c,55 Cnc B,10.0,,,0.0166756648659162,-0.00440489260609106,0.00440489260609106,0.193,,,33.747,-0.035,0.035,0.13,-0.003,0.003,0.0,,,,,,2025.0,,,,,,,2455491.8,-4.2,4.1,,,,2.59,-0.66,0.65,230.040584379752,-27.9169551906216,27.9169551906216,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.167908,28.3152863,13.152,,8.56,7.933,7.666,12.4773,-0.0171,0.0171,0.16,-0.1,0.1,0.26,-0.02,0.02,0.274,-0.066,0.066,M4.5 V,3286.0,-31.0,31.0
55 Cnc b,55 Cnc,10.0,,,0.8306,-0.0033,0.0033,1.24,,,14.651552,-3.6e-05,3.6e-05,0.118,-0.002,0.002,0.0029,-0.002,0.0027,89.73,-24.54,24.49,1996.0,23.0,-57.0,56.0,2453021.08,-0.01,0.01,2455495.595,-0.015,0.012,,,,71.5,-0.22,0.22,700.0,,,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.1468373,28.3298154,5.95084,,4.768,4.265,4.015,12.5855,-0.0123,0.0124,0.39,-0.1,0.1,1.015,-0.051,0.051,0.98,-0.016,0.016,G8 V,5198.0,-31.0,31.0
55 Cnc c,55 Cnc,10.0,,,0.1714,-0.0055,0.0055,0.76,,,44.3936,-0.0024,0.0024,0.247,-0.004,0.004,0.088,-0.23,0.23,89.73,-24.54,24.49,2004.0,31.0,-14.0,14.0,2453028.63,-0.25,0.25,2455491.23,-0.34,0.34,,,,10.17,-0.22,0.22,499.268463126825,-6.46683328780002,6.46683328780002,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.1468373,28.3298154,5.95084,,4.768,4.265,4.015,12.5855,-0.0123,0.0124,0.39,-0.1,0.1,1.015,-0.051,0.051,0.98,-0.016,0.016,G8 V,5198.0,-31.0,31.0
55 Cnc d,55 Cnc,10.0,,,3.878,-0.068,0.068,1.16,,,4799.0,-15.0,4.9,5.6,-0.1,0.1,0.0913,-0.0067,0.0067,89.73,-24.54,24.49,2002.0,-90.0,-2.0,2.0,2452837.69,-68.87,68.87,2451517.8,-3.5,20.0,,,,45.63,-0.45,0.45,104.854867873099,-1.41428027820604,1.41428027820604,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.1468373,28.3298154,5.95084,,4.768,4.265,4.015,12.5855,-0.0123,0.0124,0.39,-0.1,0.1,1.015,-0.051,0.051,0.98,-0.016,0.016,G8 V,5198.0,-31.0,31.0
55 Cnc e,55 Cnc,5.5,-2.5,2.5,0.0251392253720542,-0.00103829091023503,0.00100682754931882,0.167276295833705,-0.00258720670889464,0.00258720670889464,0.7365474,-1.4e-06,1.3e-06,0.01544,-5e-05,5e-05,0.05,-0.03,0.03,83.59,-0.44,0.47,2004.0,86.0,-33.4,30.7,2447578.2159,-0.0001,0.0001,2457063.2096,-0.0004,0.0006,0.39,-0.03,0.03,6.02,-0.23,0.24,1958.0,-15.0,15.0,Radial Velocity,Mass,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,133.1468373,28.3298154,5.95084,,4.768,4.265,4.015,12.5855,-0.0123,0.0124,0.35,-0.1,0.1,0.905,-0.015,0.015,0.943,-0.01,0.01,G8 V,5172.0,-18.0,18.0
55 Cnc f,55 Cnc,10.0,,,0.141,-0.012,0.012,0.677,,,260.58,-0.15,0.15,0.802,-0.014,0.014,0.063,-0.043,0.048,89.73,-24.54,24.49,2007.0,100.0,-25.0,45.0,2447488.0,-1.1,1.1,2455236.4,-2.6,2.6,,,,4.83,-0.22,0.22,277.07377811784,-3.7006448636569,3.7006448636569,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,133.1468373,28.3298154,5.95084,,4.768,4.265,4.015,12.5855,-0.0123,0.0124,0.39,-0.1,0.1,1.015,-0.051,0.051,0.98,-0.016,0.016,G8 V,5198.0,-31.0,31.0
6 Lyn b,6 Lyn,2.353,-0.211,0.211,1.881,-0.089,0.038,1.2,,,919.86,-3.71,1.92,2.028,-0.005,0.003,0.042,-0.032,0.024,,,,2008.0,121.0,-61.71,88.24,2453537.3,-224.7,121.2,,,,,,,32.76,-1.52,0.67,371.858446687457,,,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,97.6960311,58.1611753,5.87307,,4.272,3.825,3.701,54.6599,-0.2734,0.2734,-0.17,-0.07,0.11,1.32,-0.21,0.2,4.94,-0.5,0.55,K0 IV,4941.0,,
61 Vir b,61 Vir,8.96,-3.08,2.76,0.016,-0.002,0.002,0.188,,,4.215,-0.0006,0.0006,0.050201,-5e-06,5e-06,0.12,-0.11,0.11,,,,2009.0,105.0,-54.0,54.0,,,,2455200.597,-0.054,0.05,,,,2.12,-0.23,0.23,1177.85248274505,-9.68667643918899,9.68667643918899,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,199.596455,-18.3157745,4.6955,3.97,3.334,2.974,2.956,8.50332,-0.0173,0.01737,-0.01,,,0.942,-0.029,0.034,0.963,-0.011,0.011,G5 V,5577.0,-33.0,33.0
61 Vir c,61 Vir,8.96,-3.08,2.76,0.057,-0.003,0.003,0.398,,,38.021,-0.034,0.034,0.2175,-0.0001,0.0001,0.14,-0.06,0.06,,,,2009.0,341.0,-38.0,38.0,,,,2455036.24,-0.34,0.3,,,,3.62,-0.23,0.23,565.871022980376,-4.65546424507376,4.65546424507376,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,199.596455,-18.3157745,4.6955,3.97,3.334,2.974,2.956,8.50332,-0.0173,0.01737,-0.01,,,0.942,-0.029,0.034,0.963,-0.011,0.011,G5 V,5577.0,-33.0,33.0
61 Vir d,61 Vir,8.96,-3.08,2.76,0.072,-0.008,0.008,0.456,,,123.01,-0.55,0.55,0.476,-0.001,0.001,0.35,-0.09,0.09,,,,2009.0,314.0,-20.0,20.0,,,,2455245.8,-3.7,2.9,,,,3.25,-0.39,0.39,382.510718765963,-3.17127280584104,3.17127280584104,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,199.596455,-18.3157745,4.6955,3.97,3.334,2.974,2.956,8.50332,-0.0173,0.01737,-0.01,,,0.942,-0.029,0.034,0.963,-0.011,0.011,G5 V,5577.0,-33.0,33.0
7 CMa b,7 CMa,4.3,-1.3,0.9,1.85,-0.06,0.06,1.2,,,735.1,-1.0,14.8,1.758,-0.001,0.024,0.06,-0.03,0.03,90.0,,,2011.0,165.3,-70.8,5.1,2454093.0,-34.0,34.0,,,,,,,34.3,-0.9,1.2,387.325116909025,-7.48277540293759,7.48277540293759,Radial Velocity,Msin(i)/sin(i),<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,99.171276,-19.2561808,3.95,2.935,2.173,1.679,1.564,19.8101,-0.1648,0.1648,0.21,-0.1,0.1,1.34,-0.12,0.11,4.87,-0.14,0.17,K1III(+M),4826.0,-55.0,45.0
7 CMa c,7 CMa,4.3,-1.3,0.9,0.87,-0.06,0.06,1.24,,,996.0,-52.4,1.5,2.153,-0.08,0.003,0.08,-0.04,0.05,90.0,,,2019.0,233.5,-40.2,7.7,,,,,,,,,,14.9,-1.1,0.9,349.996000109545,-7.45314132703039,7.45314132703039,Radial Velocity,Msin(i)/sin(i),<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,99.171276,-19.2561808,3.95,2.935,2.173,1.679,1.564,19.8101,-0.1648,0.1648,0.21,-0.1,0.1,1.34,-0.12,0.11,4.87,-0.14,0.17,K1III(+M),4826.0,-55.0,45.0
70 Vir b,70 Vir,7.77,-0.51,0.51,7.49,-0.61,0.61,1.13,,,116.688,-0.0054,0.0054,0.481,-0.022,0.022,0.3988,-0.0019,0.0019,,,,1996.0,359.83,-0.29,0.29,2455291.721,-0.086,0.086,2455656.682,-0.047,0.047,,,,316.2,-0.78,0.78,525.241893724447,,,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,202.1064898,13.7763085,4.96808,,3.798,3.457,3.5,17.9011,-0.0557,0.056,-0.09,-0.03,0.03,1.09,,,1.89,,,G5V,5495.0,,
8 UMi b,8 UMi,1.7,-0.2,0.2,1.65,-0.06,0.06,1.2,,,93.31,-0.06,0.06,0.462,-0.006,0.006,0.062,-0.03,0.028,,,,2015.0,54.0,-26.5,30.5,2457601.379,-6.936,7.844,,,,,,,56.1,-1.6,1.7,1126.38067489461,-25.4466430393331,25.4466430393331,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,224.201685,74.9009379,6.83295,,5.069,4.749,4.515,162.552,-0.646,0.651,-0.03,-0.1,0.1,1.51,-0.06,0.06,10.73,-0.14,0.14,K0,4847.0,-100.0,100.0
91 Aqr b,91 Aqr,3.56,-0.63,0.63,3.2,,,1.17,,,181.4,-0.1,0.1,0.7,,,0.027,-0.026,0.026,,,,2013.0,177.3,-0.8,0.8,2453472.1,-24.5,24.5,,,,,,,91.5,,,891.727722606159,,,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,348.9745031,-9.0878076,4.23946,3.175,2.263,1.69,1.597,44.0304,-0.51325,0.51325,-0.03,-0.1,0.1,1.4,-0.1,0.1,11.0,-0.1,0.1,K0 III,4665.0,-18.0,18.0
AB Aur b,AB Aur,0.003,-0.002,0.002,9.0,,,1.12,,,,,,93.9,-49.3,49.3,0.4,-0.21,0.2,42.6,-15.5,15.6,2022.0,,,,,,,,,,,,,,,,83.6292125854972,-22.0022564643864,22.0022564643864,Imaging,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,73.9410446,30.5510888,7.076,,5.936,5.062,4.23,162.127,-1.498,1.526,,,,2.4,-0.2,0.2,2.95887,-0.0706985,0.0966382,,9770.0,-100.0,100.0
